Campus location Name,Map link,Address
1218 NE Campus Parkway (ELM),"https://maps.google.com/maps?q=47.6566000001,-122.315046&t=k&z=18","47.6566000001,-122.315046"
1429 NE Boat St (OTS),"https://maps.google.com/maps?q=47.650309,-122.312766&t=k&z=18","47.650309,-122.312766"
307 Westlake Ave N (Z01),"https://maps.google.com/maps?q=47.6213710002,-122.338866&t=k&z=18","47.6213710002,-122.338866"
3710 Brooklyn Ave NE (WSG),"https://maps.google.com/maps?q=47.6521629999,-122.314194&t=k&z=18","47.6521629999,-122.314194"
3716 Brooklyn Ave NE (WSP),"https://maps.google.com/maps?q=47.6522699998,-122.314194&t=k&z=18","47.6522699998,-122.314194"
3930 Brooklyn Avenue N.E. (IC2),"https://maps.google.com/maps?q=47.6549990002,-122.314227&t=k&z=18","47.6549990002,-122.314227"
3939 University Way NE (EIC),"https://maps.google.com/maps?q=47.6548930001,-122.313624&t=k&z=18","47.6548930001,-122.313624"
3941 University Way NE (DSC),"https://maps.google.com/maps?q=47.6550529998,-122.313602&t=k&z=18","47.6550529998,-122.313602"
3947 University Way NE (SGS),"https://maps.google.com/maps?q=47.6552310001,-122.31359&t=k&z=18","47.6552310001,-122.31359"
4225 Roosevelt Way N.E. (Roosevelt I) (OTT),"https://maps.google.com/maps?q=47.658285,-122.318168&t=k&z=18","47.658285,-122.318168"
4245 Roosevelt Way N.E. (Roosevelt II) (QUC),"https://maps.google.com/maps?q=47.658843,-122.318222&t=k&z=18","47.658843,-122.318222"
4518-4522 University Way NE (AAB),"https://maps.google.com/maps?q=47.6618549998,-122.31279&t=k&z=18","47.6618549998,-122.31279"
4545 Building (ADS),"https://maps.google.com/maps?q=47.6618390001,-122.312315&t=k&z=18","47.6618390001,-122.312315"
"45th Street Plaza Building, 1100 NE 45th St (L039)","https://maps.google.com/maps?q=47.661543,-122.316229&t=k&z=18","47.661543,-122.316229"
668 NE Northlake Way (Environmental Hlth Dept) (EHD),"https://maps.google.com/maps?q=47.654766,-122.321073&t=k&z=18","47.654766,-122.321073"
Aerodynamics Laboratory (ADL),"https://maps.google.com/maps?q=47.6541919999,-122.305435&t=k&z=18","47.6541919999,-122.305435"
Aerospace and Engineering Research Building (AER),"https://maps.google.com/maps?q=47.6539520001,-122.305808&t=k&z=18","47.6539520001,-122.305808"
Alder Hall (ALD),"https://maps.google.com/maps?q=47.6556570002,-122.313866&t=k&z=18","47.6556570002,-122.313866"
Allen Library (ALB),"https://maps.google.com/maps?q=47.6555730001,-122.30705&t=k&z=18","47.6555730001,-122.30705"
Alumni House (AHO),"https://maps.google.com/maps?q=47.6610774289,-122.3123392041&t=k&z=18","47.6610774289,-122.3123392041"
Anderson Hall (AND),https://map.uw.edu/?id=2099#!m/973251?share,"47.6517550001,-122.30757"
Arboretum Buildings (ARB),"https://maps.google.com/maps?q=47.63961,-122.294633&t=k&z=18","47.63961,-122.294633"
Architecture Hall (ARC),"https://maps.google.com/maps?q=47.6545609998,-122.310904&t=k&z=18","47.6545609998,-122.310904"
Art Building (ART),"https://maps.google.com/maps?q=47.658392,-122.306461&t=k&z=18","47.658392,-122.306461"
Atmospheric Sciences-Geophysics Building (ATG),"https://maps.google.com/maps?q=47.6539650003,-122.309372&t=k&z=18","47.6539650003,-122.309372"
Bagley Hall (BAG),"https://maps.google.com/maps?q=47.6534420002,-122.308836&t=k&z=18","47.6534420002,-122.308836"
Bank of America Executive Education Center (EXED),"https://maps.google.com/maps?q=47.6595219999,-122.307727&t=k&z=18","47.6595219999,-122.307727"
Benaroya Research Institute (BRI),"http://maps.google.com/maps?q=47.60952,-122.328384","47.60952,-122.328384"
Benjamin Hall Interdisciplinary Research Building (RTB),"https://maps.google.com/maps?q=47.6551450001,-122.321252&t=k&z=18","47.6551450001,-122.321252"
Benson Hall (BNS),"https://maps.google.com/maps?q=47.6529959997,-122.309525&t=k&z=18","47.6529959997,-122.309525"
Bill & Melinda Gates Center for Computer Science & Engineering (CSE2),"https://maps.google.com/maps?q=47.652919,-122.304545&t=k&z=18","47.652919,-122.304545"
Bloedel Hall (BLD),"https://maps.google.com/maps?q=47.6512549999,-122.307699&t=k&z=18","47.6512549999,-122.307699"
"Bowman Building, 4625 Union Bay Place NE (BOW)","https://maps.google.com/maps?q=47.6627829997,-122.29533&t=k&z=18","47.6627829997,-122.29533"
Brooklyn Trail Building (SSB),"https://maps.google.com/maps?q=47.6546789998,-122.31476&t=k&z=18","47.6546789998,-122.31476"
Burke Memorial-Washington State Museum (BRK),"https://maps.google.com/maps?q=47.660402,-122.311561&t=k&z=18","47.660402,-122.311561"
Center for Urban Horticulture Complex (CUH),"https://maps.google.com/maps?q=47.657901,-122.290213&t=k&z=18","47.657901,-122.290213"
Central Plaza (LNDMK-2),https://map.uw.edu/?id=2099#!m/975092?s/,"47.655845040828,-122.30954906746"
Ceramic and Metal Arts Building (CMA),"https://maps.google.com/maps?q=47.6600030001,-122.292181&t=k&z=18","47.6600030001,-122.292181"
Chemistry Building (CHB),"https://maps.google.com/maps?q=47.6528929999,-122.308322&t=k&z=18","47.6528929999,-122.308322"
Chemistry Library Building (CHL),"https://maps.google.com/maps?q=47.6537670003,-122.310013&t=k&z=18","47.6537670003,-122.310013"
Child Care Center (CCC),"https://maps.google.com/maps?q=47.6550310003,-122.315344&t=k&z=18","47.6550310003,-122.315344"
Clark Hall (CLK),"https://maps.google.com/maps?q=47.6576250001,-122.304865&t=k&z=18","47.6576250001,-122.304865"
Collegiana (COL),"https://maps.google.com/maps?q=47.6602409997,-122.315799&t=k&z=18","47.6602409997,-122.315799"
Columns and Sylvan Theater (LNDMK-4),https://map.uw.edu/?id=2099#!m/975441?s/,"47.652845634837,-122.30630311905"
Commodore-Duchess Apartments (CDA),"https://maps.google.com/maps?q=47.6556100003,-122.312445&t=k&z=18","47.6556100003,-122.312445"
Communications Building (CMU),"https://maps.google.com/maps?q=47.6569749998,-122.3054&t=k&z=18","47.6569749998,-122.3054"
Condon Hall (CDH),"https://maps.google.com/maps?q=47.656621,-122.316084&t=k&z=18","47.656621,-122.316084"
Conibear Shellhouse (CSH),"https://maps.google.com/maps?q=47.6529019999,-122.299754&t=k&z=18","47.6529019999,-122.299754"
Corporation Yard Buildings (CYB),"https://maps.google.com/maps?q=47.658649,-122.293738&t=k&z=18","47.658649,-122.293738"
Cunningham Hall (ICH),"https://maps.google.com/maps?q=47.6572149997,-122.311059&t=k&z=18","47.6572149997,-122.311059"
David C. Hall Building (HLL),"https://maps.google.com/maps?q=47.656142,-122.304105&t=k&z=18","47.656142,-122.304105"
Dempsey Hall (DEM),"https://maps.google.com/maps?q=47.659153,-122.307637&t=k&z=18","47.659153,-122.307637"
Dempsey Indoor Center (IPF),"https://maps.google.com/maps?q=47.6514990001,-122.299324&t=k&z=18","47.6514990001,-122.299324"
Denny Hall (DEN),"https://maps.google.com/maps?q=47.6584230003,-122.308888&t=k&z=18","47.6584230003,-122.308888"
Department of Biology Greenhouse,https://maps.app.goo.gl/tAnue58UdDE3x6hE6,"47.6520192,-122.3118936"
Douglas Research Conservatory (DRC),"https://maps.google.com/maps?q=47.6577110002,-122.288971&t=k&z=18","47.6577110002,-122.288971"
Drumheller Fountain (X10),"https://maps.google.com/maps?q=47.653802,-122.307812&t=k&z=18","47.653802,-122.307812"
Eagleson Hall (EGL),"https://maps.google.com/maps?q=47.6581090001,-122.31242&t=k&z=18","47.6581090001,-122.31242"
Eastside Executive Center - Foster School of Business,"https://maps.google.com/?q=10220+NE+Points+Dr,+Kirkland,+WA+98033","10220 NE Points Drive, Suite 100,Kirkland, WA 98033"
Electrical and Computer Engineering Building (ECE),"https://maps.google.com/maps?q=47.6535600003,-122.306255&t=k&z=18","47.6535600003,-122.306255"
Elisabeth C. Miller Library (EMLB),https://maps.app.goo.gl/idQ5ya77wSv6zpKE9,"47.658114,-122.2932935"
Elm Hall (ELM),"https://maps.google.com/maps?q=47.6566000001,-122.315046&t=k&z=18","47.6566000001,-122.315046"
Engineering Annex (EGA),"https://maps.google.com/maps?q=47.6536389999,-122.304319&t=k&z=18","47.6536389999,-122.304319"
Engineering Library (ELB),"https://maps.google.com/maps?q=47.6546449997,-122.3045&t=k&z=18","47.6546449997,-122.3045"
Environmental Safety Office Building (ESO),"https://maps.google.com/maps?q=47.6588609997,-122.293902&t=k&z=18","47.6588609997,-122.293902"
Environmental Safety Storage Building (ESB),"https://maps.google.com/maps?q=47.6596329998,-122.293123&t=k&z=18","47.6596329998,-122.293123"
Ethnic Cultural Center Theatre (ICT),"https://maps.google.com/maps?q=47.6551640002,-122.314099&t=k&z=18","47.6551640002,-122.314099"
Faye G. Allen Center for the Visual Arts (AVA),"https://maps.google.com/maps?q=47.656102,-122.31168&t=k&z=18","47.656102,-122.31168"
Fialkow Biomedical Sciences Research Pavilion (K wing) (HSK),"https://maps.google.com/maps?q=47.6513369997,-122.311921&t=k&z=18","47.6513369997,-122.311921"
Fisheries Teaching and Research Building (FTR),"https://maps.google.com/maps?q=47.6525509999,-122.31557&t=k&z=18","47.6525509999,-122.31557"
Fishery Sciences (FSH),"https://maps.google.com/maps?q=47.6531699999,-122.316242&t=k&z=18","47.6531699999,-122.316242"
Floyd and Delores Jones Playhouse (PHT),"https://maps.google.com/maps?q=47.6566419999,-122.313582&t=k&z=18","47.6566419999,-122.313582"
Fluke Hall (FLK),"https://maps.google.com/maps?q=47.6558239997,-122.303223&t=k&z=18","47.6558239997,-122.303223"
Founders Hall (FNDR),"https://maps.google.com/maps?q=47.658824,-122.307168&t=k&z=18","47.658824,-122.307168"
Gatehouse 1 - Central Parking Garage (GH1),"https://maps.google.com/maps?q=47.6568315288,-122.311603034&t=k&z=18","47.6568315288,-122.311603034"
Gatehouse 2 - Memorial Way (GH2),"https://maps.google.com/maps?q=47.6602360003,-122.309638&t=k&z=18","47.6602360003,-122.309638"
Gatehouse 3 - Pend Oreille (GH3),"https://maps.google.com/maps?q=47.6584009997,-122.302604&t=k&z=18","47.6584009997,-122.302604"
Gatehouse 5 - NE 40th/West Stevens (GH5),"https://maps.google.com/maps?q=47.6553109999,-122.311603&t=k&z=18","47.6553109999,-122.311603"
Gatehouse 6 - 15th NE (GH6),"https://maps.google.com/maps?q=47.6507099997,-122.311617&t=k&z=18","47.6507099997,-122.311617"
